hwm_id,lon,lat,x_utm10,y_utm10,cell,elev_ft,elev_m,cell_z_m,above_bed_m,is_above_bed,vdatum_id,vdatum,hwm_quality_id,hwm_quality,hwm_environment,survey_date,waterbody
32970,-95.3610547,29.7650368,3224113.2,3635962.0,2886912,4.29,1.308,8.97,-7.662,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32983,-95.35788,29.76357,3224482.5,3635874.6,2888094,4.21,1.283,11.30,-10.017,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32986,-95.35788,29.76357,3224482.5,3635874.6,2888094,4.05,1.234,11.30,-10.066,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32988,-95.35788,29.76357,3224482.5,3635874.6,2888094,3.21,0.978,11.30,-10.322,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32996,-95.343325,29.761926,3226021.2,3636069.3,2888501,1.0,0.305,9.73,-9.425,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32998,-95.343325,29.761926,3226021.2,3636069.3,2888501,0.67,0.204,9.73,-9.526,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32990,-95.343325,29.761926,3226021.2,3636069.3,2888501,2.0,0.610,9.73,-9.120,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
33000,-95.343325,29.761926,3226021.2,3636069.3,2888501,1.42,0.433,9.73,-9.297,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
33003,-95.343325,29.761926,3226021.2,3636069.3,2888501,0.92,0.280,9.73,-9.450,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32992,-95.343325,29.761926,3226021.2,3636069.3,2888501,1.75,0.533,9.73,-9.197,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
32995,-95.343325,29.761926,3226021.2,3636069.3,2888501,1.5,0.457,9.73,-9.273,no,2,NAVD88,3,fair,Riverine,2018-06-20T05:00:00,Buffalo Bayou
33202,-95.6152326,29.7775365,3197757.6,3630701.8,2696055,80.94,24.671,24.57,0.101,yes,2,NAVD88,6,unknown,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33196,-95.640122,29.77339,3195340.4,3629562.1,2700268,81.52,24.847,25.00,-0.153,no,2,NAVD88,6,unknown,Riverine,2018-06-20T05:00:00,Buffalo Bayou
33225,-95.6003356,29.7672301,3199590.1,3629887.0,672901,75.41,22.985,24.83,-1.845,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33237,-95.589747,29.7617013,3200838.7,3629518.3,2717732,69.92,21.312,21.33,-0.018,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33271,-95.5829731,29.7680811,3201338.3,3630443.7,2690418,74.11,22.589,23.23,-0.641,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33272,-95.5829731,29.7680811,3201338.3,3630443.7,2690418,74.11,22.589,23.23,-0.641,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33273,-95.5741365,29.7663126,3202294.5,3630469.4,2679031,73.44,22.385,22.73,-0.345,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33278,-95.56605,29.76415,3203186.1,3630429.2,2677843,72.36,22.055,21.30,0.755,yes,2,NAVD88,3,fair,Riverine,2018-06-29T05:00:00,Buffalo Bayou
33279,-95.56605,29.76415,3203186.1,3630429.2,2677843,72.36,22.055,21.30,0.755,yes,2,NAVD88,3,fair,Riverine,2018-06-29T05:00:00,Buffalo Bayou
33280,-95.56317,29.77015,3203299.0,3631207.8,2680034,71.6,21.824,22.20,-0.376,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33274,-95.57129525,29.76553113,3202608.4,3630452.7,2678460,73.13,22.290,21.60,0.690,yes,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33275,-95.57129525,29.76553113,3202608.4,3630452.7,2678460,73.13,22.290,21.60,0.690,yes,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33281,-95.56317,29.77015,3203299.0,3631207.8,2680034,71.6,21.824,22.20,-0.376,no,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33282,-95.6418,29.76845,3195317.7,3628939.7,168788,82.99,25.295,21.47,3.825,yes,2,NAVD88,3,fair,Riverine,2108-06-22T05:00:00,Buffalo Bayou
33277,-95.5687656,29.7642223,3202906.4,3630366.1,2678536,72.27,22.028,21.93,0.098,yes,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33276,-95.5687656,29.7642223,3202906.4,3630366.1,2678536,72.27,22.028,21.93,0.098,yes,2,NAVD88,3,fair,Riverine,2018-06-21T05:00:00,Buffalo Bayou
33298,-95.63736456,29.76763283,3195795.4,3628960.5,2702579,81.95,24.978,25.67,-0.692,no,2,NAVD88,3,fair,Riverine,2018-06-22T05:00:00,Buffalo Bayou
